Path,Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
path3_right_angle_90_last_heading_minus_pi,DWPP for Diff-drive,0.0000,0.0095,0.0327,6.4445,N/A
path3_right_angle_90_last_heading_minus_pi,VP for Omni (min L),0.0000,0.0177,0.1029,26.8532,N/A
path3_right_angle_90_last_heading_minus_pi,VP for Omni (max L),0.0000,0.0335,0.1255,26.3599,N/A
path3_right_angle_90_last_heading_minus_pi,DWVP for Omni,0.0000,0.0092,0.0501,14.2694,N/A
path4_one_minus_cos,DWPP for Diff-drive,0.0000,0.0186,0.0632,9.7618,N/A
path4_one_minus_cos,VP for Omni (min L),0.0000,0.0121,0.1079,23.6110,N/A
path4_one_minus_cos,VP for Omni (max L),0.0000,0.0324,0.1523,29.7292,N/A
path4_one_minus_cos,DWVP for Omni,0.0000,0.0211,0.0768,15.8679,N/A
