sigma_xy [m],Violation [%],Mean err. [m],Max err. [m],Time [s],Reach
0,0.0,0.02,0.11,23.7,Yes
0.01,0.0+-0.0,0.02+-0.00,0.11+-0.00,26.4+-1.3,Yes
0.02,0.0+-0.0,0.01+-0.00,0.10+-0.01,48.8+-5.5,Yes
0.05,0.0+-0.0,0.01+-0.00,0.09+-0.01,--,No
0.1,0.0+-0.0,0.01+-0.00,0.20+-0.04,--,No
