sigma_xy [m],Violation [%],Mean err. [m],Max err. [m],Time [s],Reach
0,49.1,0.17,0.62,21.5,Yes
0.01,68.3+-1.7,0.17+-0.01,0.62+-0.01,21.8+-0.2,Yes
0.02,81.7+-1.9,0.18+-0.01,0.63+-0.03,22.0+-0.5,Yes
0.05,92.8+-1.2,0.19+-0.01,0.64+-0.04,21.7+-0.6,Yes
0.1,96.3+-0.7,0.18+-0.03,0.63+-0.06,20.8+-1.2,Yes
