Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP for Diff-drive,0.0000,0.0116,0.0229,0.2233,21.0500
VP for Omni,100.0000,0.0183,0.0335,1.6048,20.9000
DWVP for Omni,0.0000,0.0195,0.0372,0.9286,20.9000
