Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP for Diff-drive,0.0000,0.0128,0.0242,0.6100,N/A
VP for Omni,100.0000,0.0288,0.0436,1.6459,N/A
DWVP for Omni,0.0000,0.0285,0.0415,2.1813,N/A
