Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP,0.0000,0.0087,0.0322,13.0189,54.0500
DWPP with Auto Look-Ahead,0.0000,0.1673,1.3500,51.5017,72.9500
