sigma_xy [m],Violation [%],Mean err. [m],Max err. [m],Time [s],Reach
0,31.3,0.13,0.55,20.0,Yes
0.01,51.8+-1.5,0.13+-0.00,0.55+-0.01,20.0+-0.1,Yes
0.02,70.6+-1.7,0.13+-0.00,0.55+-0.02,20.0+-0.1,Yes
0.05,87.5+-1.2,0.13+-0.00,0.57+-0.02,19.9+-0.2,Yes
0.1,93.4+-0.8,0.14+-0.01,0.58+-0.04,19.8+-0.4,Yes
