sigma_xy [m],Violation [%],Mean err. [m],Max err. [m],Time [s],Reach
0,27.5,0.04,0.18,21.7,Yes
0.01,47.9+-1.3,0.04+-0.00,0.18+-0.01,21.7+-0.1,Yes
0.02,67.8+-1.7,0.04+-0.00,0.19+-0.01,21.9+-0.1,Yes
0.05,85.4+-1.1,0.05+-0.00,0.20+-0.02,22.6+-0.5,Yes
0.1,91.4+-0.7,0.05+-0.01,0.19+-0.04,22.4+-0.8,Yes
