Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP for Diff-drive,0.0000,0.0566,2.0503,70.3194,N/A
VP for Omni (min L),100.0000,0.0171,0.1138,14.6134,38.0000
VP for Omni (max L),99.4065,0.0167,0.0912,13.8613,33.7000
DWVP for Omni,0.0000,0.0095,0.0287,8.6557,43.6500
