Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP for Diff-drive,0.0000,0.0919,2.1987,72.0310,N/A
VP for Omni (min L),100.0000,0.0070,0.0294,2.4323,27.3000
VP for Omni (max L),100.0000,0.0165,0.0875,2.4869,27.2000
DWVP for Omni,0.0000,0.0089,0.0454,3.1702,30.6500
