l_t [s],Violation [%],Mean err. [m],Max err. [m],Time [s]
0.6,31.3,1.04,3.37,42.4
0.8,68.2,0.29,0.76,25.3
1.0,74.8,0.29,0.77,24.8
1.2,49.1,0.17,0.62,21.5
1.4,31.3,0.13,0.55,20.0
1.6,26.6,0.14,0.50,19.3
1.8,23.1,0.16,0.52,18.6
2.0,0.6,0.19,0.57,18.1
2.2,0.6,0.23,0.69,17.8
2.4,0.6,0.27,0.79,17.5
2.6,0.6,0.29,0.87,17.2
2.8,0.6,0.31,0.90,16.7
3.0,0.6,0.30,0.87,16.0
