Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
DWPP for Diff-drive,0.0000,0.0854,2.6560,70.2887,N/A
VP for Omni (min L),100.0000,0.0080,0.0399,9.2815,27.0000
VP for Omni (max L),100.0000,0.0206,0.1118,7.6893,25.2000
DWVP for Omni,0.0000,0.0091,0.0385,5.6521,32.7000
